"FLIGHT_DATE","2023","2022","2020","2019"
2023-01-01,21614.4285714286,19419.1428571429,24467.8571428571,22885.7142857143
2023-01-02,21963.7142857143,19473.2857142857,24634.1428571429,22845.4285714286
2023-01-03,22038.8571428571,19455.5714285714,25375.8571428571,23816.5714285714
2023-01-04,22077,19326.8571428571,26062.5714285714,24258.5714285714
2023-01-05,22129.1428571429,19108.8571428571,25955.1428571429,24275.7142857143
2023-01-06,22141.5714285714,19719,26024.5714285714,24301.1428571429
2023-01-07,22634.4285714286,20141.8571428571,25704,24229.7142857143
2023-01-08,23084.4285714286,19919.7142857143,25491.2857142857,24453.2857142857
2023-01-09,22914.2857142857,19454.8571428571,25414.4285714286,25487.1428571429
2023-01-10,22633.5714285714,19000.5714285714,25207.2857142857,26118
2023-01-11,22407.7142857143,18582,25148.1428571429,26026.8571428571
2023-01-12,22250,18233.7142857143,25183.7142857143,25919.4285714286
2023-01-13,22204.7142857143,17929.5714285714,25168.1428571429,25856.2857142857
2023-01-14,21943.5714285714,17467.4285714286,25072,25610
2023-01-15,21733.2857142857,16972.8571428571,25040,25375.7142857143
2023-01-16,21634.2857142857,16795.5714285714,25069.5714285714,25312
2023-01-17,21541.5714285714,16654,25208.5714285714,25236.7142857143
2023-01-18,21481.1428571429,16604.8571428571,25208.1428571429,25221.5714285714
2023-01-19,21398.1428571429,16606.2857142857,25250.2857142857,25271.7142857143
2023-01-20,21465.5714285714,16604,25284.5714285714,25457.1428571429
2023-01-21,21461.4285714286,16563.1428571429,25270,25439.5714285714
2023-01-22,21444.7142857143,16515.4285714286,25263.5714285714,25487
2023-01-23,21440.4285714286,16375.1428571429,25264.8571428571,25559.1428571429
2023-01-24,21445.5714285714,16172.7142857143,25202.1428571429,25634
2023-01-25,21432,16092.7142857143,25195.4285714286,25581.2857142857
2023-01-26,21504.2857142857,16058.1428571429,25178.4285714286,25588.4285714286
2023-01-27,21408.2857142857,16050.1428571429,25193,25517
2023-01-28,21402.2857142857,16016.5714285714,25265.8571428571,25486.2857142857
2023-01-29,21428.8571428571,16053.1428571429,25277.8571428571,25455.2857142857
2023-01-30,21454.2857142857,16120.5714285714,25292.1428571429,25379.5714285714
2023-01-31,21427.2857142857,16413.5714285714,25322.5714285714,25396.4285714286
2023-02-01,21511.1428571429,16595.1428571429,25385.8571428571,25413.7142857143
2023-02-02,21553,16784.8571428571,25439.7142857143,25431.7142857143
2023-02-03,21667.8571428571,16888.8571428571,25418.7142857143,25406
2023-02-04,21742.4285714286,17124.8571428571,25492.4285714286,25467.7142857143
2023-02-05,21754.5714285714,17261.4285714286,25077.8571428571,25420.5714285714
2023-02-06,21819,17513.1428571429,24724.8571428571,25447.2857142857
2023-02-07,21941.8571428571,17600.7142857143,24727.4285714286,25482.8571428571
2023-02-08,22042.1428571429,17718.2857142857,24804.1428571429,25579.5714285714
2023-02-09,22215.7142857143,17891.1428571429,24859,25662
2023-02-10,22444.8571428571,18153,25010.7142857143,25778.7142857143
2023-02-11,22629.2857142857,18433.2857142857,25147.1428571429,25839.2857142857
2023-02-12,22836.8571428571,18627,25589.5714285714,25927.8571428571
2023-02-13,22992.5714285714,18735.7142857143,26005.2857142857,25984.2857142857
2023-02-14,23145.2857142857,18869.8571428571,26209.1428571429,26059.4285714286
2023-02-15,23270.7142857143,18931,26300.8571428571,26014.7142857143
2023-02-16,23315,18889,26330.7142857143,26093.8571428571
2023-02-17,22992.7142857143,18721.1428571429,26348.4285714286,26238.4285714286
2023-02-18,23154.2857142857,18795,26419.2857142857,26432.7142857143
2023-02-19,23236.1428571429,18859.7142857143,26517.5714285714,26586.2857142857
2023-02-20,23268.1428571429,18859.2857142857,26612.5714285714,26628.1428571429
2023-02-21,23311.4285714286,18943.4285714286,26628.8571428571,26671.1428571429
2023-02-22,23365.8571428571,19079.5714285714,26599.1428571429,26761.1428571429
2023-02-23,23395.5714285714,19221.7142857143,26548.7142857143,26783.1428571429
2023-02-24,23686.7142857143,19446.1428571429,26520.1428571429,26717.5714285714
2023-02-25,NA,19420.2857142857,26411.5714285714,26725.4285714286
2023-02-26,NA,19469.2857142857,26413.1428571429,26798.4285714286
2023-02-27,NA,19667,26331.4285714286,26880.1428571429
2023-02-28,NA,19816.7142857143,26295.7142857143,26946.1428571429
2023-03-01,NA,19938.1428571429,26290.1428571429,27054.8571428571
2023-03-02,NA,20085.5714285714,26235.4285714286,27107.7142857143
2023-03-03,NA,20244.8571428571,26046.5714285714,27136.1428571429
2023-03-04,NA,20297.1428571429,25903.4285714286,27132.4285714286
2023-03-05,NA,20375.1428571429,25731.5714285714,27062.5714285714
2023-03-06,NA,20449.8571428571,25498.2857142857,27013.7142857143
2023-03-07,NA,20447.1428571429,25172.8571428571,27041.7142857143
2023-03-08,NA,20447.7142857143,24772.2857142857,27084
2023-03-09,NA,20455.7142857143,24372.5714285714,27085.2857142857
2023-03-10,NA,20325.5714285714,23950.8571428571,27124.4285714286
2023-03-11,NA,20151,23508.5714285714,27083.4285714286
2023-03-12,NA,20079.8571428571,22849.2857142857,27081.8571428571
2023-03-13,NA,20076.4285714286,21906.7142857143,27196.5714285714
2023-03-14,NA,20111.5714285714,20738.2857142857,27237.1428571429
2023-03-15,NA,20173.7142857143,19364.4285714286,27178.8571428571
2023-03-16,NA,20205.7142857143,17763,27184.1428571429
2023-03-17,NA,20332.5714285714,15979.2857142857,27233
2023-03-18,NA,20433.7142857143,14412.8571428571,27255.1428571429
2023-03-19,NA,20541.8571428571,12627,27290.1428571429
