scenario,tz_name,daio,year,flights
Actual,North Macedonia,AD,2010,11910
Actual,North Macedonia,I,2010,297
Actual,North Macedonia,O,2010,112775
Actual,North Macedonia,T,2010,124982
Actual,Norway-Continental,AD,2010,206601
Actual,Norway-Continental,I,2010,288957
Actual,Norway-Continental,O,2010,41453
Actual,Norway-Continental,T,2010,537011
Actual,Poland,AD,2010,215873
Actual,Poland,I,2010,40968
Actual,Poland,O,2010,341678
Actual,Poland,T,2010,598519
Actual,Portugal-Continental,AD,2010,214968
Actual,Portugal-Continental,I,2010,31007
Actual,Portugal-Continental,O,2010,183375
Actual,Portugal-Continental,T,2010,429350
Actual,Portugal-SantaMaria,AD,2010,12511
Actual,Portugal-SantaMaria,I,2010,12947
Actual,Portugal-SantaMaria,O,2010,92327
Actual,Portugal-SantaMaria,T,2010,117785
Actual,Romania,AD,2010,116642
Actual,Romania,I,2010,28472
Actual,Romania,O,2010,324427
Actual,Romania,T,2010,469541
Actual,SES-RP2,AD,2010,1937527
Actual,SES-RP2,I,2010,6968801
Actual,SES-RP2,O,2010,194304
Actual,SES-RP2,T,2010,9100632
Actual,Serbia/Montenegro,AD,2010,66551
Actual,Serbia/Montenegro,I,2010,9020
Actual,Serbia/Montenegro,O,2010,467760
Actual,Serbia/Montenegro,T,2010,543331
Actual,Slovakia,AD,2010,28744
Actual,Slovakia,I,2010,3710
Actual,Slovakia,O,2010,337858
Actual,Slovakia,T,2010,370312
Actual,Slovenia,AD,2010,35609
Actual,Slovenia,I,2010,958
Actual,Slovenia,O,2010,291619
Actual,Slovenia,T,2010,328186
Actual,South West FAB,AD,2010,1050898
Actual,South West FAB,I,2010,560893
Actual,South West FAB,O,2010,152873
Actual,South West FAB,T,2010,1764664
Actual,Spain-Canaries,AD,2010,158301
Actual,Spain-Canaries,I,2010,79232
Actual,Spain-Canaries,O,2010,37546
Actual,Spain-Canaries,T,2010,275079
Actual,Spain-Continental,AD,2010,874043
Actual,Spain-Continental,I,2010,352184
Actual,Spain-Continental,O,2010,382039
Actual,Spain-Continental,T,2010,1608266
Actual,Sweden,AD,2010,235417
Actual,Sweden,I,2010,144530
Actual,Sweden,O,2010,284227
Actual,Sweden,T,2010,664174
Actual,Switzerland,AD,2010,429169
Actual,Switzerland,I,2010,22262
Actual,Switzerland,O,2010,573779
Actual,Switzerland,T,2010,1025210
Actual,Türkiye,AD,2010,409316
Actual,Türkiye,I,2010,232809
Actual,Türkiye,O,2010,322985
Actual,Türkiye,T,2010,965110
Actual,UK-Continental,AD,2010,1417497
Actual,UK-Continental,I,2010,428530
Actual,UK-Continental,O,2010,334817
Actual,UK-Continental,T,2010,2180844
Actual,UK-Ireland FAB,AD,2010,1420068
Actual,UK-Ireland FAB,I,2010,544946
Actual,UK-Ireland FAB,O,2010,251083
Actual,UK-Ireland FAB,T,2010,2216097
Actual,Ukraine,AD,2010,118959
Actual,Ukraine,I,2010,33422
Actual,Ukraine,O,2010,277032
Actual,Ukraine,T,2010,429413
Actual,NM Area,AD,2011,1726178
Actual,NM Area,I,2011,8073798
Actual,NM Area,O,2011,109863
Actual,NM Area,T,2011,9909839
Actual,Albania,AD,2011,22918
Actual,Albania,I,2011,15
Actual,Albania,O,2011,174332
Actual,Albania,T,2011,197265
Actual,Armenia,AD,2011,21271
Actual,Armenia,I,2011,12
Actual,Armenia,O,2011,35881
Actual,Armenia,T,2011,57164
Actual,Austria,AD,2011,323037
Actual,Austria,I,2011,23738
Actual,Austria,O,2011,807350
Actual,Austria,T,2011,1154125
Actual,Azerbaijan,AD,2011,41104
Actual,Azerbaijan,I,2011,4603
Actual,Azerbaijan,O,2011,77882
Actual,Azerbaijan,T,2011,123589
Actual,BLUE MED FAB,AD,2011,1092026
Actual,BLUE MED FAB,I,2011,522454
Actual,BLUE MED FAB,O,2011,652205
Actual,BLUE MED FAB,T,2011,2266685
Actual,Baltic FAB,AD,2011,254379
Actual,Baltic FAB,I,2011,48255
Actual,Baltic FAB,O,2011,438830
Actual,Baltic FAB,T,2011,741464
Actual,Belgium/Luxembourg,AD,2011,375902
Actual,Belgium/Luxembourg,I,2011,9283
Actual,Belgium/Luxembourg,O,2011,706307
Actual,Belgium/Luxembourg,T,2011,1091492
Actual,Bosnia and Herzegovina,AD,2011,12414
Actual,Bosnia and Herzegovina,I,2011,462
Actual,Bosnia and Herzegovina,O,2011,262828
Actual,Bosnia and Herzegovina,T,2011,275704
Actual,Bulgaria,AD,2011,68084
Actual,Bulgaria,I,2011,5359
Actual,Bulgaria,O,2011,465855
Actual,Bulgaria,T,2011,539298
Actual,Croatia,AD,2011,64414
Actual,Croatia,I,2011,9693
Actual,Croatia,O,2011,423169
Actual,Croatia,T,2011,497276
Actual,Cyprus,AD,2011,65006
Actual,Cyprus,I,2011,1382
Actual,Cyprus,O,2011,215007
Actual,Cyprus,T,2011,281395
Actual,Czech Republic,AD,2011,159078
Actual,Czech Republic,I,2011,6582
